,title,address,price,bedroom,bathroom,floor,parking,property_id,property_face,build_year,views,area_covered,road_access,build_up_area,posted,amenities
0,"Beautiful : House For Sale In Sovahity, Lalitpur","Near Kirat Yakthung Chumlung, Sovahity, Lalitpur","NPR. 2,00,00,000 Total price",4,3,2.5,1,BN8300,South,2073,8.8K,0-3-0-0 Aana,10 Feet / Concrete,1003 Aana,2 years ago,"['Modular Kitchen', 'Drainage', 'Water Supply', 'Water Tank', 'Parking']"
1,"Modern : House For Sale In Imadol, Lalitpur","Inside Cozy Homes, Imadol, Lalitpur","NPR. 3,25,00,000",6,5,3,2,BN8299,South East,2077,3.3K,0-5-1-0 Aana,13 Feet / Gravelled,3000 Sq. Feet,2 years ago,"['Garage', 'Drainage', 'Parking']"
2,"House For Sale In Imadol, Lalitpur","New Millennium School, Imadol, Lalitpur","NPR. 2,45,00,000",6,4,2.5,2,BN8298,West,2077,5K,0-3-2-0 Aana,20 Feet / Gravelled,850 Sq. Feet,2 years ago,"['Drainage', 'Parking']"
3,"House For Sale In Baluwatar, Kathmandu","Baluwatar banla house sale, Baluwatar, Kathmandu","NPR. 6,50,00,000 Onwards",0,0,N/A,0,BN8295,West,2060,822,11.5 Aana,18 Feet / Gravelled,2500 Sq. Feet,2 years ago,"['CCTV', 'Garage', 'Garden']"
4,"House For Sale In Mid Baneshwor, Kathmandu","Banesor banla house sale, Mid Baneshwor, Kathmandu","NPR. 4,40,00,000 N/A",0,0,3,0,BN8294,North,N/A,1.3K,4 Aana,18 Feet / Blacktopped,N/A Sq. Feet,2 years ago,['CCTV']
5,"House For Sale In Budhanilkantha, Kathmandu","Naranthan, Budhanilkantha, Kathmandu","NPR. 8,75,00,000 Onwards",4,0,3,0,BN8293,North,2077,865,16 Aana,14 Feet / Blacktopped,2077 Aana,2 years ago,"['Garage', 'TV Cable', 'Wifi', 'Solar Water', 'CCTV', 'Internet']"
6,"House For Sale At Ganesh Chwok, Hattigauda, Budhanilkantha : House For Sale In Hattigauda, Kathmandu","Budhanilkantha, Hattigauda, Kathmandu","NPR. 1,50,00,000",4,2,3,0,BN8292,South,2010,946,0-2-2-0 Aana,8 Feet / Gravelled,N/A Aana,2 years ago,"['Deck', 'Fencing', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Water Well', 'Internet']"
7,"Old House For Sale At Dillibazar Height : House For Sale In Dillibazar, Kathmandu","Dillibazar height, Dillibazar, Kathmandu","NPR. 3,40,00,000 Onwards",0,0,2,0,BN8289,East,N/A,1.1K,4 Aana,13 Feet,N/A Aana,2 years ago,[]
8,"Bungalow On Sale At Budhanilkantha : House For Sale In Budhanilkantha, Kathmandu","Budhanilkantha, Budhanilkantha, Kathmandu","NPR. 5,00,00,000 Onwards",6,5,N/A,2,BN8285,East,N/A,613,5 Aana,16 Feet / Blacktopped,N/A Aana,2 years ago,"['Lawn', 'Drainage', 'Parking', 'Balcony', 'Deck', 'Fencing', 'Water Supply', 'Garden', 'Modular Kitchen', 'Solar Water', 'Water Tank']"
9,"2 Storied Bungalow On Sale At Budhanilkantha : House For Sale In Budhanilkantha, Kathmandu","Budhanilkantha, Budhanilkantha, Kathmandu","NPR. 15,00,00,000 Onwards",4,0,N/A,3,BN8284,East,N/A,891,11 Aana,16 Feet / Blacktopped,N/A Aana,2 years ago,"['Lawn', 'Drainage', 'Parking', 'Fencing', 'Water Supply', 'Garden', 'Modular Kitchen']"
10,"House On Sale In Boudha : House For Sale In Boudha, Kathmandu","Sandhara, Mankhal, Boudha, Kathmandu","NPR. 45,00,000 Per Aana",4,3,3,0,BN8277,South West,N/A,1.2K,0-4-2-1 Aana,16 Feet,0-3-3-0 Aana,2 years ago,"['Drainage', 'Water Supply', 'Store Room', 'Modular Kitchen', 'TV Cable', 'Wifi', 'Solar Water', 'Water Tank', 'Water Well', 'Internet']"
11,"House For Sale In Kalanki, Kathmandu","Seuchatar, kalanki, Kalanki, Kathmandu","NPR. 1,90,00,000 Onwards",7,3,N/A,1,BN8275,South West,N/A,3.5K,0-3_00 Aana,10 Feet / Gravelled,1800 Sq. Feet,2 years ago,"['Parking', 'Water Supply', 'Water Tank']"
12,"House For Sale In Devkota Chowk, Bhairahawa","Bhairahawa.rudrapath, Devkota Chowk, Bhairahawa","NPR. 1,80,00,000 Onwards",4,3,2,1,BN8273,North,2077,1K,10.75 Dhur,20 Feet / Gravelled,1800 Dhur,2 years ago,"['Balcony', 'Garden', 'Modular Kitchen', 'TV Cable', 'Washing Machine', 'Wifi', 'Water Supply', 'Water Tank', 'CCTV', 'Internet', 'Kids Playground', 'Parking', 'Store Room']"
13,"Commercial : House For Sale In Imadol, Lalitpur","Nearby Kist Hospital, Imadol, Lalitpur","NPR. 3,50,00,000 Total price",13,6,4.5,1,BN8270,North,2067,1.7K,0-4-0-0 Aana,15 Feet / Blacktopped,N/A Aana,2 years ago,"['Drainage', 'Water Tank', 'Parking']"
14,"House For Sale In Sukedhara, Kathmandu","Near New Colony, Sukedhara, Kathmandu","NPR. 3,52,00,000",6,3,3,0,BN8264,East,2065,1.4K,0-4-3-0 Aana,22 Feet / Blacktopped,N/A Sq. Feet,2 years ago,"['Drainage', 'Balcony', 'Water Supply', 'TV Cable', 'Wifi', 'Water Tank', 'Water Well', 'Electricity Backup', 'Internet', 'Store Room']"
15,"Hattigauda 20 Ana Bungalow : House For Sale In Hattigauda, Kathmandu","na, Hattigauda, Kathmandu","NPR. 10,00,00,000 Onwards",5,6,3,4,BN8241,East,2070,1.8K,20 Aana,15 Feet / Blacktopped,N/A Aana,2 years ago,"['Drainage', 'Garage', 'Lawn', 'Parking', 'Water Supply', 'Modular Kitchen', 'Microwave', 'Fencing', 'Garden', 'Water Tank', 'Water Well']"
16,"House For Sale (Urgent) : House For Sale In Jorpati, Kathmandu","Aryalgaun, Narayantar, Jorpati, Kathmandu","NPR. 1,30,00,000 Onwards",5,2,3,6,BN8239,North East,2016,2.5K,0-2-3-0.00 Aana,8 Feet / Soil Stabilized,1354.00 Sq. Feet,2 years ago,"['Drainage', 'Balcony', 'Fencing', 'Parking', 'TV Cable', 'Garden', 'Water Tank', 'Water Well', 'Wifi', 'Internet']"
17,"Budhanilkantha 11 Ana Home For Sale : House For Sale In Budhanilkantha, Kathmandu","na, Budhanilkantha, Kathmandu","NPR. 6,00,00,000 Onwards",6,6,3,3,BN8235,East,2071,1K,12 Aana,13 Feet / Blacktopped,N/A Aana,2 years ago,"['Garage', 'Parking']"
18,"JALPACHOK GAIRIGAU HOME FOR SALE : House For Sale In Tokha, Kathmandu","NA, Tokha, Kathmandu","NPR. 2,35,00,000 Onwards",7,6,3,1,BN8232,East,2075,1.1K,3.3 Aana,15 Feet / Gravelled,3200 Sq. Feet,2 years ago,['Parking']
19,"Baneshwor New House : House For Sale In Baneshwor, Kathmandu","na, Baneshwor, Kathmandu","NPR. 5,55,00,000 Onwards",8,9,N/A,2,BN8229,East,2077,1.6K,4 Aana,15 Feet / Blacktopped,5500 Sq. Feet,2 years ago,"['Garage', 'Modular Kitchen', 'Parking']"
20,"Bungalow House On Sale At Ganesh Basti : House For Sale In Budhanilkantha, Kathmandu","Ganesh Basti, Budhanilkantha, Kathmandu","NPR. 2,60,00,000 Onwards",3,3,N/A,2,BN8227,South,N/A,1.9K,4.5 Aana,22 Feet / Gravelled,N/A Aana,2 years ago,"['Lawn', 'Drainage', 'Parking', 'Balcony', 'Water Supply', 'Garden', 'Modular Kitchen', 'Solar Water']"
21,"2.5 Storied Bungalow House On Sale At Hattigauda : House For Sale In Hattigauda, Kathmandu","Hattigaunda, Hattigauda, Kathmandu","NPR. 9,50,00,000 Onwards",5,4,N/A,6,BN8222,East,N/A,829,24 Aana,22 Feet,N/A Aana,2 years ago,"['Lawn', 'Drainage', 'Garage', 'Parking', 'Balcony', 'Deck', 'Fencing', 'Water Supply', 'Garden', 'Modular Kitchen', 'Solar Water', 'Water Tank']"
22,"CG HILLS FURNISHED BUNGALOW : House For Sale In Budhanilkantha, Kathmandu","NA, Budhanilkantha, Kathmandu","NPR. 5,00,00,000 Onwards",4,4,3,0,BN8220,West,2071,2.7K,4.5 Aana,20 Feet / Blacktopped,N/A Aana,2 years ago,['Garage']
23,"HOUSE : House For Sale In Pepsicola, Kathmandu","Nearby Sun City Apartment, Pepsicola, Kathmandu","NPR. 2,50,00,000 Total price",5,4,2.5,2,BN8214,North East,2075,18.5K,0-3-0-0 Aana,18 Feet / Gravelled,95.39 Aana,2 years ago,"['Fencing', 'Modular Kitchen', 'Drainage', 'Water Supply', 'Water Tank', 'Parking']"
24,"Beautiful 2 & Half Story House, Maharajgunj. Built Pre-Earthquake : House For Sale In Maharajgunj, Kathmandu","Kapanmarg, Maharajgunj, Maharajgunj, Kathmandu","NPR. 4,80,00,000 Onwards",7,6,3,1,BN8206,South,N/A,1.6K,8 Aana,10 Feet,6 Aana,2 years ago,"['Balcony', 'Solar Water', 'Parking', 'Drainage', 'Fencing', 'Water Supply', 'Garden', 'Water Tank']"
25,"Houses For Sale At Teku, Kahtmandu(Roadside, Yellow Buildings) : House For Sale In Teku, Kathmandu","Teku-12, Kathmandu, Teku, Kathmandu","NPR. 1,60,00,000 Per Aana",0,0,N/A,0,BN8204,North,N/A,2K,11 Aana,13 Feet / Paved,N/A Aana,2 years ago,"['Water Supply', 'TV Cable', 'Water Well', 'Water Tank', 'Internet']"
26,"Residential House : House For Sale In Imadol, Lalitpur","Nearby,Ratamakai Chowk, Imadol, Imadol, Lalitpur","NPR. 3,10,00,000 Onwards",6,3,3,1,BN8203,East,2068,21.7K,0-5-2-0 Aana,12 Feet / Blacktopped,2764.5 Aana,2 years ago,"['Garage', 'Balcony', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank', 'Water Well', 'Parking']"
27,"Beautiful : House For Sale In Budhanilkantha, Kathmandu","Chapali, Nearby Kunja Colony, Budhanilkantha, Kathmandu","NPR. 2,50,00,000",9,3,3,2,BN8183,South,2064,3.7K,0-3-0-0 Aana,13 Feet / Gravelled,0-2-0-0 Aana,2 years ago,"['Drainage', 'Water Supply', 'Parking', 'Store Room']"
28,"SOLD OUT : House For Sale In Imadol, Lalitpur","Nearby Green Hill City, Imadol, Lalitpur","NPR. 2,10,00,000 Total price",5,4,2.5,2,BN8179,West,2077,894,0-3-0-0 Aana,12 Feet / Gravelled,N/A Aana,2 years ago,"['Fencing', 'Modular Kitchen', 'Drainage', 'Water Supply', 'Water Tank', 'Parking']"
