,title,address,price,bedroom,bathroom,floor,parking,property_id,property_face,build_year,views,area_covered,road_access,build_up_area,posted,amenities
17,"Budhanilkantha Phulbari Home : House For Sale In Budhanilkantha, Kathmandu","na, Budhanilkantha, Kathmandu","NPR. 5,80,00,000 Onwards",5,5,3,1,BN8366,East,2076,1.5K,6.5 Aana,20 Feet / Blacktopped,N/A Aana,2 years ago,"['Drainage', 'Garage', 'Parking', 'Water Supply', 'Modular Kitchen', 'Solar Water', 'Microwave', 'Air Condition', 'Balcony', 'Water Tank', 'Water Well']"
18,"House For Sale : House For Sale In Dhapasi, Kathmandu","Dhapasi Height, Dhapasi, Kathmandu","NPR. 3,85,00,000 Onwards",8,5,N/A,6,BN8365,South East,N/A,1.9K,0-8-3-0 Aana,13 Feet / Paved,N/A Aana,2 years ago,"['Garage', 'Balcony', 'Garden', 'Modular Kitchen', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank', 'Water Well', 'Internet', 'Maintenance', 'Parking', 'Store Room']"
19,"House For Sale : House For Sale In Nagarjun, Kathmandu","Nagarjung, Nagarjun, Kathmandu","NPR. 1,85,00,000 onwards",5,3,2.5,2,BN8364,North East,N/A,1.9K,0-2-2-0 Aana,13 Feet / Concrete,N/A Aana,2 years ago,"['Garden', 'Modular Kitchen', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Water Tank', 'Water Well', 'Internet', 'Parking']"
20,"House For Sale : House For Sale In Raniban, Kathmandu","Raniban, Raniban, Kathmandu","NPR. 3,00,00,000 Onwards",5,2,2.5,3,BN8363,West,N/A,4K,0-4-2-0 Aana,15 Feet / Concrete,N/A Aana,2 years ago,"['Balcony', 'Garden', 'Modular Kitchen', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Water Tank', 'Water Well', 'Internet', 'Parking', 'Store Room']"
21,"House For Sale : House For Sale In Chhauni, Kathmandu","chhauni, Chhauni, Kathmandu","NPR. 2,70,00,000 Total price",5,2,2.5,2,BN8358,South East,N/A,1.6K,0-4-2-2 Aana,8 Feet / Paved,N/A Aana,2 years ago,"['Lawn', 'Balcony', 'Modular Kitchen', 'TV Cable', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank', 'Water Well', 'Maintenance', 'Parking']"
22,"House For Sale : House For Sale In Nagarjun, Kathmandu","Nagarjung, Nagarjun, Kathmandu","NPR. 3,15,00,000 Onward",5,2,2,2,BN8357,South East,N/A,1.3K,05-0-0 Aana,13 Feet / Gravelled,N/A Aana,2 years ago,"['Balcony', 'Modular Kitchen', 'TV Cable', 'Drainage', 'Water Supply', 'Water Tank', 'Water Well', 'Maintenance', 'Parking']"
23,"House For Sale In Budhanilkantha, Kathmandu","Chunikhel budhanilkantha, Budhanilkantha, Kathmandu","NPR. 1,60,00,000 Onwards",4,3,3,1,BN8343,East,2075,2.5K,0-2-3 Aana,14 Feet / Gravelled,1700 Sq. Feet,2 years ago,"['Parking', 'Balcony', 'Fencing', 'Water Supply', 'TV Cable', 'Wifi', 'Water Tank', 'Water Well', 'Internet']"
24,"House On Sale At Hattigaunda : House For Sale In Budhanilkantha, Kathmandu","Hattigaunda, Budhanilkantha, Kathmandu","NPR. 10,00,00,000 Onwards",6,4,N/A,4,BN8342,East,2065,1.5K,20 Aana,12 Feet / Blacktopped,N/A Aana,2 years ago,"['Drainage', 'Garage', 'Parking', 'Solar Water', 'Electricity Backup', 'Water Tank', 'TV Cable', 'Garden', 'Balcony']"
25,"House On Sale At Basundhara : House For Sale In Basundhara, Kathmandu","Bansbari, Basundhara, Kathmandu","NPR. 11,00,00,000",6,5,2,3,BN8340,East,N/A,1K,20 Aana,13 Feet / Blacktopped,N/A Aana,2 years ago,"['Garage', 'Parking', 'Water Supply', 'Garden']"
26,"House On Sale At Rudreshwor, Budhanilkantha : House For Sale In Budhanilkantha, Kathmandu","Rudreshwor, Budhanilkantha, Kathmandu","NPR. 5,70,00,000",7,5,2,3,BN8339,East,2075,1.1K,12 Aana,15 Feet / Blacktopped,N/A Aana,2 years ago,"['Parking', 'Drainage', 'Water Supply', 'Modular Kitchen', 'Water Tank']"
