Title,Full_Address,Price,Bedroom,Bathroom,Floors,Parking,Face,Year,Views,Area,Road,Build Area,Posted,Amenities,City,Address,Area(Sq.Feet),Area(In Sq.Feet),Price(Float)
"Urgent Sale House At Naikap : House For Sale In Naikap, Kathmandu","['Adarsh tole', ' Naikap', ' Kathmandu']",5500000 Per Aana,3,3,3.0,2,East,2015.0,251,8 Aana,20.0,7 Aana,4 months ago,"['Lawn', 'Drainage', 'Garage', 'Parking', 'Balcony', 'Fencing', 'Water Supply', 'Garden', 'Microwave', 'Modular Kitchen', 'TV Cable', 'Wifi', 'Solar Water', 'Water Tank', 'Kids Playground', 'Maintenance', 'Store Room']", Kathmandu, Naikap,2738.0,2738.0,44000000.0
"Box-Design : House For Sale In Tikathali, Lalitpur","['Buddha Colony', ' Tikathali', ' Lalitpur']",37500000,5,4,2.5,2,South East,,1.8K,0-3-3-0 Aana,13.0,2400 Sq. Feet,4 months ago,[], Lalitpur, Tikathali,1283.4375,1283.4375,37500000.0
"RESIDENTIAL : House For Sale In Imadol, Lalitpur","['Sital Height', ' Imadol', ' Lalitpur']",31500000,6,4,2.5,2,East,,752,0-3-2-2 Aana,13.0,N/A Aana,4 months ago,"['Balcony', 'Modular Kitchen', 'Drainage', 'Water Tank', 'Parking', 'Store Room']", Lalitpur, Imadol,1240.65625,1240.65625,31500000.0
"Brihat Community Living : House For Sale In Sitapaila, Kathmandu","['Ramkot', ' Sitapaila', ' Kathmandu']",73100000,4,4,2.0,2,South West,,1.1K,0-10-2-3 Aana,18.0,1860 Aana,5 months ago,"['Balcony', 'Fencing', 'Garden', 'Gym', 'Modular Kitchen', 'Swimming Pool', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Water Tank', 'CCTV', 'Intercom', 'Internet', 'Maintenance', 'Parking', 'Security Staff', 'Store Room']", Kathmandu, Sitapaila,3657.796875,3657.796875,73100000.0
"RESIDENTIAL : House For Sale In Mahalaxmi Nagarpalika, Lalitpur","['Changathali', ' United Colony', ' Mahalaxmi Nagarpalika', ' Lalitpur']",26000000,6,4,2.5,1,South,,372,0-3-2-0 Aana,13.0,2500 Sq. Feet,5 months ago,"['Balcony', 'Modular Kitchen', 'TV Cable', 'Drainage', 'Water Supply', 'Water Tank', 'Parking', 'Store Room']", Lalitpur, Mahalaxmi Nagarpalika,1197.875,1197.875,26000000.0
"House For Sale In Kapan, Kathmandu","['Payatar', ' Kapan', ' Kathmandu']",27000000,11,3,3.0,1,South East,2077.0,549,4 Aana,10.0,2200 Sq. Feet,5 months ago,"['Parking', 'Balcony', 'Water Supply', 'Garden', 'CCTV', 'Microwave', 'Modular Kitchen', 'TV Cable', 'Wifi', 'Solar Water', 'Water Well', 'Water Tank', 'Internet', 'Store Room', 'Lawn']", Kathmandu, Kapan,1369.0,1369.0,27000000.0
"House On Sale : House For Sale In Imadol, Lalitpur","['Rajkulo Marga', ' Imadol', ' Lalitpur']",26500000,4,3,3.0,1,South,2022.0,555,0-3-2-0 Aana,20.0,N/A Aana,5 months ago,"['Lawn', 'Drainage', 'Parking', 'Balcony', 'Fencing', 'Water Supply', 'Garden', 'Modular Kitchen', 'TV Cable', 'Wifi', 'Water Well', 'Water Tank', 'Internet']", Lalitpur, Imadol,1197.875,1197.875,26500000.0
"House For Sale In Imadol, Lalitpur","['imadol naya basi', ' Imadol', ' Lalitpur']",28500000,9,4,3.0,1,South,2077.0,280,3-2-0 Aana,13.0,2500 Sq. Feet,5 months ago,"['Parking', 'Water Supply', 'Water Tank', 'TV Cable', 'Modular Kitchen', 'Solar Water', 'Water Well']", Lalitpur, Imadol,1197.875,1197.875,28500000.0
"House : House For Sale In Dhumbarahi, Kathmandu","['385/25', ' Dhumbarahi', ' Kathmandu']",55000000,10,7,4.0,2,North,2066.0,567,0-5-2-0 Aana,13.0,3300 Sq. Feet,5 months ago,"['Drainage', 'Parking', 'TV Cable', 'Washing Machine', 'Wifi', 'Solar Water', 'Water Tank', 'Electricity Backup', 'Internet']", Kathmandu, Dhumbarahi,1882.375,1882.375,55000000.0
"Brihat Community Living : House For Sale In Sitapaila, Kathmandu","['Ramkot', ' Sitapaila', ' Kathmandu']",53600000,3,4,3.5,1,North,2078.0,1.6K,0-6-1-3 Aana,20.0,2900 Sq. Feet,5 months ago,"['Lawn', 'Balcony', 'Fencing', 'Garden', 'Gym', 'Modular Kitchen', 'Swimming Pool', 'TV Cable', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank', 'Water Well', 'CCTV', 'Internet', 'Kids Playground', 'Maintenance', 'Parking', 'Security Staff', 'Store Room', 'Jacuzzi']", Kathmandu, Sitapaila,2203.234375,2203.234375,53600000.0
"House For Sale In Imadol, Lalitpur","['Imadol 4 Bojepokhari', ' Imadol', ' Lalitpur']",285,6,5,3.0,1,East,,211,0.3.2.1 Aana,12.0,2461 Sq. Feet,5 months ago,"['Parking', 'Water Supply', 'Modular Kitchen', 'TV Cable', 'Washing Machine', 'Wifi', 'Solar Water', 'Water Tank', 'Internet', 'Balcony']", Lalitpur, Imadol,1219.265625,1219.265625,285.0
"Built On 5 Aana 2 Paisa 3 Daam. Brand New House Sale At Imadol Sital Height , Lalitpur, Nepal. Very Low Price New House. : House For Sale In Imadol, Lalitpur","['Sital height', ' Imadol', ' Imadol', ' Lalitpur']",38500000,7,5,3.0,10,East,,244,6 Aana,18.0,0-5-2-3 Aana,5 months ago,"['Lawn', 'Drainage', 'Parking', 'Balcony', 'Deck', 'Fencing', 'Water Supply', 'Garden', 'Modular Kitchen', 'TV Cable', 'Solar Water', 'Water Well', 'Water Tank']", Lalitpur, Imadol,2053.5,2053.5,38500000.0
"House For Sale In Budhanilkantha, Kathmandu","['Bagmati', ' Budhanilkantha', ' Kathmandu']",79000000,5,5,2.0,3,East,,494,8 Aana,26.0,N/A Sq. Feet,5 months ago,"['Parking', 'Balcony', 'Water Supply', 'Garden', 'Modular Kitchen', 'TV Cable', 'Wifi', 'Washing Machine', 'Solar Water', 'Water Well', 'Water Tank', 'Internet', 'Store Room']", Kathmandu, Budhanilkantha,2738.0,2738.0,79000000.0
"Residential : House For Sale In Hattiban, Lalitpur","['Near LA School', ' Hattiban', ' Lalitpur']",32500000,5,4,3.0,1,South,,1.2K,0-4-0-0 Aana,13.0,2300 Sq. Feet,6 months ago,"['Balcony', 'Modular Kitchen', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank', 'Parking', 'Store Room']", Lalitpur, Hattiban,1369.0,1369.0,32500000.0
"FINE RESIDENTIAL : House For Sale In Hattiban, Lalitpur","['Sitapakha', ' Hattiban', ' Lalitpur']",35000000,5,4,3.5,1,North East,,925,0-4-0-0 Aana,13.0,2500 Sq. Feet,6 months ago,"['Balcony', 'Modular Kitchen', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank', 'Parking', 'Store Room']", Lalitpur, Hattiban,1369.0,1369.0,35000000.0
"Comfortable Residential : House For Sale In Hattiban, Lalitpur","['Sitapakha', ' Hattiban', ' Lalitpur']",29000000,6,4,2.5,1,West,,1.2K,0-3-1-0 Aana,13.0,N/A Aana,6 months ago,[], Lalitpur, Hattiban,1112.3125,1112.3125,29000000.0
"RESIDENTIAL : House For Sale In Dallu, Kathmandu","['Dallu Awas', ' Dallu', ' Kathmandu']",41000000,6,3,3.0,1,South,,1.5K,0-3-0-0 Aana,16.0,2300 Sq. Feet,6 months ago,"['Balcony', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Solar Water', 'Internet', 'Store Room']", Kathmandu, Dallu,1026.75,1026.75,41000000.0
