,title,address,price,bedroom,bathroom,floor,parking,property_id,property_face,build_year,views,area_covered,road_access,build_up_area,posted,amenities
956,"House For Sale In Battisputali, Kathmandu","Btisputali, Battisputali, Kathmandu","NPR. 4,30,00,000 N/A",6,6,3,1,BN8770,South,2073,834,0-4-2-0 Aana,15 Feet / Gravelled,N/A Sq. Feet,2 years ago,"['CCTV', 'Parking', 'Solar Water', 'Internet']"
957,"House Sale In Goldhunga : House For Sale In Goldhunga, Kathmandu","New house sale in Goldhunga, Goldhunga, Kathmandu","NPR. 1,95,00,000",0,0,N/A,0,BN8762,North East,N/A,938,0-4-0-0 Aana,10 Feet,N/A Aana,2 years ago,[]
958,"House Sale In Jarankhu : House For Sale In Goldhunga, Kathmandu","House sale in Jarankhu, Goldhunga, Kathmandu","NPR. 1,50,00,000",0,0,N/A,0,BN8761,North East,N/A,575,0-2-2-1 Aana,13 Feet,N/A Aana,2 years ago,[]
959,"92 Vaskar Marg : House For Sale In Dillibazar, Kathmandu","92 vaskar marg, Dillibazar, Kathmandu","NPR. 4,00,00,000",4,4,5,3,BN8748,East,N/A,1K,910 Sq. Feet,14 Feet,900 Sq. Meter,2 years ago,['Garage']
960,"House For Sale In Ason : House For Sale In Ason, Kathmandu","Kamalachi, Ason, Kathmandu","NPR. 8,00,00,000",8,4,5,0,BN8745,South West,2075,1.5K,0-2-0-3 Aana,25 Feet / Paved,N/A Aana,2 years ago,['Drainage']
961,"New House : House For Sale In Sunderbasti, Kathmandu","Sundarbasti, Kapan, Sunderbasti, Kathmandu","NPR. 3,15,00,000",5,4,2,3,BN8740,East,N/A,769,0-5-3-0 Aana,14 Feet / Gravelled,N/A Aana,2 years ago,"['Garden', 'Modular Kitchen', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank', 'Internet', 'Parking', 'Store Room']"
962,"Two House : House For Sale In Boudha, Kathmandu","Boudha, Kathmandu, Boudha, Kathmandu","NPR. 1,70,00,000 Per Aana",0,0,N/A,0,BN8739,South,N/A,1.4K,0-11-0-0 Aana,15 Feet / Blacktopped,N/A Sq. Feet,2 years ago,"['Garage', 'Balcony', 'Garden', 'Modular Kitchen', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank', 'Internet', 'Parking', 'Store Room']"
963,"House Sale In Dhumbarahi : House For Sale In Dhumbarahi, Kathmandu","Dhumbarahi, Dhumbarahi, Kathmandu","NPR. 6,50,00,000",0,0,N/A,0,BN8737,South,N/A,1K,0-7-1-1 Aana,10 Feet,N/A Aana,2 years ago,[]
964,"House For Sale In Budhanilkantha, Kathmandu","Na, Budhanilkantha, Kathmandu","NPR. 4,50,00,000 Onwards",5,6,3,3,BN8732,East,2076,762,7 Ana Aana,20 Feet / Blacktopped,2900 Sq. Feet,2 years ago,"['Drainage', 'Balcony', 'Garage', 'Parking', 'Water Supply', 'Garden', 'Modular Kitchen', 'Washing Machine', 'Water Well', 'Water Tank', 'Store Room']"
965,"Modern House : House For Sale In Kapan, Kathmandu","Kapan, Kathmandu, Kapan, Kathmandu","NPR. 2,72,00,000",6,3,2.5,2,BN8726,East,N/A,1.5K,0-4-2-0 Aana,13 Feet / Gravelled,N/A Aana,2 years ago,"['Garage', 'Garden', 'TV Cable', 'Drainage', 'Water Supply', 'Water Tank', 'Internet']"
966,"Modern House: : House For Sale In Budhanilkantha, Kathmandu","Budhanilkantha, Kathmandu, Budhanilkantha, Kathmandu","NPR. 4,70,00,000",5,3,N/A,3,BN8723,East,N/A,888,0-6-0-0 Aana,12 Feet / Blacktopped,N/A Sq. Feet,2 years ago,"['Garage', 'Garden', 'Modular Kitchen', 'Wifi', 'Drainage', 'Water Supply', 'Water Tank', 'Water Well', 'Internet', 'Parking', 'Store Room']"
967,"House Is For Sale In Imadol, Lalitpur : House For Sale In Imadol, Lalitpur","Imadol, Lalitpur, Imadol, Lalitpur","NPR. 1,50,00,000",2,1,1,1,BN8666,North West,2073,10K,0-3-2-0 Aana,14 Feet / Blacktopped,N/A Sq. Feet,2 years ago,"['Wifi', 'Drainage', 'Water Tank', 'Water Well', 'Internet', 'Parking']"
968,"Modern House Is For Sale In Thaiba, Lalitpur : House For Sale In Thaiba, Lalitpur","Thaiba, Lalitpur, Thaiba, Lalitpur","NPR. 1,70,00,000",4,3,3,2,BN8661,North,2077,14.2K,0-3-0-2 Aana,20 Feet / Gravelled,1869.48 Aana,2 years ago,"['Garage', 'Balcony', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Water Tank', 'Water Well', 'Internet', 'Parking']"
969,"House Is For Sale In Hattigauda, Kathmandu : House For Sale In Hattigauda, Kathmandu","Hattigauda, Kathmandu, Hattigauda, Kathmandu","NPR. 2,50,00,000",0,0,N/A,0,BN8659,South,N/A,857,0-3-1-0 Aana,12 Feet / Gravelled,N/A Aana,2 years ago,"['Modular Kitchen', 'Wifi', 'Drainage', 'Water Supply', 'Water Tank', 'Internet', 'Parking']"
970,"Beautiful House : House For Sale In Bafal, Kathmandu","Bafal, Bafal, Kathmandu","NPR. 2,45,00,000 onward",7,3,2.5,3,BN8650,North,N/A,1.4K,0-4-2-0 Aana,13 Feet / Blacktopped,N/A Aana,2 years ago,"['Modular Kitchen', 'TV Cable', 'Drainage', 'Water Supply', 'Water Tank', 'Parking', 'Store Room']"
971,"Brand New House Is For Sale In Nakkhu, Lalitpur : House For Sale In Nakkhu, Lalitpur","Nakkhu, Lalitpur, Nakkhu, Lalitpur","NPR. 2,90,00,000",4,5,2.5,1,BN8649,South,N/A,1.2K,4.2 Aana,15 Feet / Soil Stabilized,N/A Aana,2 years ago,"['Garden', 'Modular Kitchen', 'Wifi', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank', 'Internet', 'Parking']"
972,"House Is For Sale In Nakkhu, Lalitpur : House For Sale In Nakkhu, Lalitpur","Nakkhu, Lalitpur, Nakkhu, Lalitpur","NPR. 2,90,00,000",4,5,2.5,1,BN8648,East,N/A,1.2K,0-4-0-0 Aana,20 Feet / Gravelled,0-4-0-0 Aana,2 years ago,"['Balcony', 'Garden', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank', 'Internet', 'Parking', 'Store Room']"
973,"Brand New House For Sale In Bhaisepati, Lalitpur : House For Sale In Bhaisepati, Lalitpur","Bhaisepati, Lalitpur, Bhaisepati, Lalitpur","NPR. 3,25,00,000",4,5,3,2,BN8647,West,N/A,748,0-4-0-0 Aana,20 Feet / Gravelled,0-4-0-0 Aana,2 years ago,"['Garden', 'Modular Kitchen', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Water Tank', 'Internet', 'Parking']"
974,"House For Sale In Thapagaun, Kathmandu","Thapagau, Thapagaun, Kathmandu","NPR. 3,60,00,000 N/A",7,4,3,1,BN8643,North,2057,776,0-3-3-3 Aana,20 Feet / Gravelled,N/A Sq. Feet,2 years ago,"['CCTV', 'Solar Water']"
975,"Brand New House For Sale In Bhaisepati, Lalitpur : House For Sale In Bhaisepati, Lalitpur","Bhaisepati, Lalitpur, Bhaisepati, Lalitpur","NPR. 3,00,00,000 onwards",4,4,2.5,1,BN8634,East,N/A,1.6K,0-4-0-0 Aana,14 Feet / Paved,N/A Sq. Feet,2 years ago,"['Modular Kitchen', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Water Tank', 'Internet', 'Parking', 'Store Room']"
976,"Brand New House Is For Sale In Bhaisepati, Lalitpur : House For Sale In Bhaisepati, Lalitpur","Bhaisepati, Lalitpur, Bhaisepati, Lalitpur","NPR. 2,45,00,000 onwards",4,5,2.5,2,BN8633,South,N/A,1.9K,0-3-2-1 Aana,20 Feet / Blacktopped,N/A Aana,2 years ago,"['Garage', 'TV Cable', 'Wifi', 'Water Supply', 'Water Tank', 'Internet', 'Parking']"
977,"Beautiful House : House For Sale In Budhanilkantha, Kathmandu","Budanilkantha, Budhanilkantha, Kathmandu","NPR. 2,80,00,000",0,0,2,0,BN8632,West,N/A,932,0-6-0-0 Aana,20 Feet / Gravelled,N/A Aana,2 years ago,"['Modular Kitchen', 'TV Cable', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank', 'Parking', 'Store Room']"
978,"Beautiful House : House For Sale In Golfutar, Kathmandu","Golgutar, Golfutar, Kathmandu","NPR. 3,10,00,000 onward",0,0,2,0,BN8631,East,N/A,894,0-6-0-0 Sq. Feet,13 Feet / Paved,N/A Sq. Feet,2 years ago,"['Modular Kitchen', 'TV Cable', 'Drainage', 'Water Supply', 'Water Tank', 'Parking']"
979,"Beautiful House : House For Sale In Mandikatar, Kathmandu","Mandikatar, Mandikatar, Kathmandu","NPR. 2,50,00,000 onward",11,0,2.5,4,BN8630,North East,N/A,892,0-3-2-3 Aana,13 Feet / Gravelled,N/A Aana,2 years ago,"['Modular Kitchen', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank', 'Parking']"
980,"Beautiful House : House For Sale In Golfutar, Kathmandu","Golfutar, Golfutar, Kathmandu","NPR. 2,15,00,000 onward",10,0,N/A,0,BN8628,South,N/A,2K,0-3-2-0 Aana,14 Feet / Paved,N/A Aana,2 years ago,"['Modular Kitchen', 'TV Cable', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank', 'Parking']"
