,title,address,price,bedroom,bathroom,floor,parking,property_id,property_face,build_year,views,area_covered,road_access,build_up_area,posted,amenities
1840,"SOLD OUT : House For Sale In Imadol, Lalitpur","Nayabasti, Imadol, Lalitpur","NPR. 1,80,00,000 Total price",5,4,3.0,0,BN5668,North West,,5.1K,3 Aana,11 Feet / Gravelled,N/A Aana,3 years ago,"['Balcony', 'Modular Kitchen', 'Wifi', 'Drainage', 'Water Tank', 'Water Well', 'Parking']"
1841,"SOLD OUT : House For Sale In Imadol, Lalitpur","Korean Church, Imadol, Lalitpur","NPR. 1,85,00,000 Total price",3,3,3.0,2,BN5667,South,2076.0,2.8K,0-3-1-0 Aana,13 Feet / Gravelled,N/A Aana,3 years ago,"['Balcony', 'Modular Kitchen', 'TV Cable', 'Wifi', 'Drainage', 'Water Tank', 'Water Well', 'Internet', 'Parking']"
1842,"SOLD OUT : House For Sale In Baneshwor, Kathmandu","Buddhanagar, Baneshwor, Kathmandu","NPR. 3,30,00,000 Total price",0,0,3.0,3,BN5666,South,,9.7K,0-4-2-0 Aana,8 Feet / Gravelled,N/A Aana,3 years ago,[]
1843,"SOLD OUT : House For Sale In Tokha, Kathmandu","Panchetar, Tokha, Kathmandu","NPR. 2,45,00,000 Total price",7,3,3.0,0,BN5665,South East,,1.4K,0-4-2-0 Aana,10 Feet / Gravelled,N/A Aana,3 years ago,[]
1844,"SOLD OUT : House For Sale In Itahari, Sunsari","Itahari, Itahari, Sunsari","NPR. 1,50,00,000 Total price",0,0,,0,BN5664,North,,1.4K,9 Dhur,20 Feet / Blacktopped,N/A Dhur,3 years ago,[]
1845,"48lak House Cheap : House For Sale In Sanepa, Lalitpur","sanepa, Sanepa, Lalitpur","NPR. 48,00,000 Onwards",2,1,1.0,1,BN5659,West,2018.0,2.7K,3 Aana,13 Feet / Gravelled,540 Sq. Feet,3 years ago,"['Garden', 'Modular Kitchen', 'Wifi', 'Water Tank', 'Water Well', 'Water Supply', 'Electricity Backup', 'Internet', 'Kids Playground']"
1846,"SOLD OUT : House For Sale In Damak, Jhapa","Damak, Damak, Jhapa","NPR. 1,90,00,000 Total price",0,0,2.0,0,BN5658,East,,1.5K,21 Dhur,15 Feet / Gravelled,N/A Dhur,3 years ago,[]
1847,"SOLD OUT : House For Sale In Changunarayan, Bhaktapur","Jhaukhel, Changunarayan, Bhaktapur","NPR. 2,15,00,000 Total price",0,0,3.5,0,BN5656,West,,551,7 Aana,15 Feet / Gravelled,N/A Aana,3 years ago,[]
1848,"SOLD OUT : House For Sale In Pokhara, Pokhara","Pokhara, Pokhara, Pokhara","NPR. 2,60,00,000 Total price",13,0,,0,BN5655,East,,9.2K,16*34 Haat,20 Feet / Blacktopped,N/A Haat,3 years ago,[]
1849,"SOLD OUT : House For Sale In Dhapakhel, Lalitpur","Dhapakhel, Dhapakhel, Lalitpur","NPR. 2,60,00,000 Total price",0,0,,0,BN5654,South,,562,0-4-5-0 Aana,12 Feet / Blacktopped,N/A Aana,3 years ago,[]
1850,"SOLD OUT : House For Sale In Damak, Jhapa","Damak, Damak, Jhapa","NPR. 2,00,00,000 Total price",4,1,2.0,3,BN5651,South,,4.7K,10 Dhur,20 Feet / Blacktopped,N/A Aana,3 years ago,[]
1851,"Modern House For Sale At Budhanilkantha : House For Sale In Budhanilkantha, Kathmandu","Taulung road, Budhanilkantha, Kathmandu","NPR. 5,10,00,000",5,5,2.0,0,BN5650,East,2011.0,639,14 Aana,14 Feet / Blacktopped,N/A Aana,3 years ago,"['Lawn', 'Garage', 'Balcony', 'Fencing', 'Garden', 'Modular Kitchen', 'TV Cable', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank', 'Parking', 'Store Room']"
1852,"Sold Out ; House On Sale At Imadol : House For Sale In Baghdol, Lalitpur","Imadol, Baghdol, Lalitpur","NPR. 1,95,00,000",4,4,2.0,1,BN5648,West,2076.0,1.2K,0-3-2-3 Sq. Feet,20 Feet / Gravelled,710 Sq. Feet,3 years ago,"['Garage', 'Balcony', 'Garden', 'Modular Kitchen', 'Drainage', 'Water Tank', 'Water Well', 'Parking', 'Store Room']"
1853,"House For Sale In Budhanilkantha, Kathmandu","RudreshworChowk, Budhanilkantha, Kathmandu","NPR. 1,50,00,000 Onwards",2,3,3.0,1,BN5634,West,2012.0,1.4K,3 Aana,12 Feet / Soil Stabilized,2.6 Aana,3 years ago,"['Lawn', 'Balcony', 'Garden', 'Fencing', 'Modular Kitchen', 'TV Cable', 'Drainage', 'Solar Water', 'Water Supply']"
1854,"Budhanilkantha Hattigauda 20 Ana Bungalow : House For Sale In Hattigauda, Kathmandu","Hattigauda, Hattigauda, Kathmandu","NPR. 9,00,00,000",6,6,3.0,4,BN5633,East,2069.0,2.4K,20 Aana,15 Feet / Blacktopped,N/A Aana,3 years ago,"['Garage', 'Balcony', 'Lawn', 'Garden', 'TV Cable', 'Drainage', 'Water Supply', 'Solar Water', 'Modular Kitchen', 'Washing Machine', 'Microwave', 'Wifi']"
1855,"Sold Out : House On Sale : House For Sale In Mulpani, Kathmandu","Dumakhal, Mulpani, Kathmandu","NPR. 1,75,00,000 Onwards",6,2,3.0,1,BN5631,East,2007.0,976,11 Aana,20 Feet / Gravelled,4 Aana,3 years ago,"['Balcony', 'TV Cable', 'Water Supply', 'Solar Water', 'Water Well']"
