Title,Address,Price,Bedroom,Bathroom,Floors,Parking,Face,Year,Views,Area,Road,Build Area,Posted,Amenities
"Tokha House(Residential) : House For Sale In Tokha, Kathmandu","Grande Tole, Tokha, Kathmandu","NPR. 3,50,00,000 Onwards",0,0,3.0,0,East,,230,6-1 Aana,13 Feet,N/A Aana,3 weeks ago,[]
"New House For Sale At Puspalal Chowk Biratnagar For Sale : House For Sale In DDC Chowk, Biratnagar","Puspalal Chowk, Biratnagar, DDC Chowk, Biratnagar","NPR. 90,00,000 Onwards",3,1,1.0,1,East,2021.0,164,10 Dhur,20 Feet / Gravelled,7 Dhur,3 weeks ago,"['Drainage', 'Parking', 'Water Supply', 'Garden', 'Modular Kitchen', 'TV Cable', 'Wifi', 'Water Tank', 'Internet']"
"House For Sale In Tikathali, Lalitpur","Mahalaxmi-05, Tikathali, Tikathali, Lalitpur","NPR. 1,70,00,000",2,1,1.0,1,North,,164,0-3-1 Aana,13 Feet / Gravelled,785 Sq. Feet,4 weeks ago,[]
"COmmercial Property At Ringroad : House For Sale In Ekantakuna, Lalitpur","Kusunti, Ekantakuna, Lalitpur","NPR. 3,20,00,000 Per Ropani",0,3,,2,North,,194,0-3-3-2 Aana,94 Feet / Blacktopped,0-3-3-2 Aana,1 month ago,[]
"House For Sale In Tarkeshwor, Kathmandu","Tarkeshor-5, Aryaltar, New Rangasala Basti, Goldhunga, Tarkeshwor, Kathmandu","NPR. 1,70,00,000 Onwards",5,2,2.0,1,East,2079.0,180,3 Aana,10 Feet / Gravelled,3 Aana,1 month ago,"['Parking', 'Wifi', 'Balcony', 'Water Supply', 'Garden', 'TV Cable', 'Water Well', 'Water Tank', 'Internet']"
"Bungalow For Sale In Gahanapokhari : House For Sale In Naxal, Kathmandu","Gahana Pokhari, Naxal, Kathmandu","NPR. 8,35,00,000 Onwards",4,4,3.0,0,South East,,259,9-3-1 Aana,13 Feet,2800 Sq. Feet,1 month ago,"['Lawn', 'Parking', 'Garden', 'Water Supply', 'Microwave', 'Modular Kitchen', 'Washing Machine', 'CCTV', 'Wifi']"
"House Sale In Chandragiri 7 : House For Sale In Chandragiri, Kathmandu","itakhel, Chandragiri, Kathmandu","NPR. 2,20,00,000",6,3,3.0,2,East,2017.0,165,5 Aana,10 Feet / Paved,N/A Aana,1 month ago,"['Drainage', 'Parking', 'Balcony', 'Water Supply', 'Garden', 'TV Cable', 'Wifi', 'Water Well', 'Internet']"
"22 Aana Amazing Bungalow For SALE At Bhaisepati, Lalitpur : House For Sale In Bhaisepati, Lalitpur","Bhaisepati, Bhaisepati, Lalitpur","NPR. 18,70,00,000",0,0,,0,East,,181,22 Aana,0 Feet,N/A Aana,1 month ago,"['Drainage', 'Garage', 'Parking', 'Garden', 'Water Supply', 'Fencing', 'Deck', 'Balcony', 'Water Tank', 'Water Well']"
"13 Aana Amazing Bungalow For Sale , Bhaisepati : House For Sale In Bhaisepati, Lalitpur","Bhaisepati, Bhaisepati, Lalitpur","NPR. 13,50,00,000",0,0,,0,South,,120,13 Aana,16 Feet / Paved,N/A Aana,1 month ago,"['Lawn', 'Drainage', 'Garage', 'Parking', 'Garden', 'Water Supply', 'Fencing', 'Balcony', 'Water Tank', 'Water Well']"
"House For Sale At Koteshwor. : House For Sale In Koteshwor, Kathmandu","Koteshwor 32, Koteshwor, Kathmandu","NPR. 2,70,00,000 Onwards",0,4,4.0,4,East,,134,4 Aana,12 Feet,1369 Sq. Feet,1 month ago,[]
"House On Sale In Imadol : House For Sale In Imadol, Lalitpur","Near downtown, Imadol, Lalitpur","NPR. 2,80,00,000 Onwards",7,3,3.0,1,North East,2022.0,190,3-2-2 Aana,18 Feet / Gravelled,2-3 Aana,1 month ago,"['Parking', 'Balcony', 'Modular Kitchen', 'Water Well', 'Water Tank', 'Solar Water', 'Maintenance']"
"House On Sale In Tikathali : House For Sale In Tikathali, Lalitpur","Tikathali, Tikathali, Lalitpur","NPR. 3,50,00,000 Onwards",6,5,3.0,1,North East,,160,4 Aana,10 Feet,3 Aana,1 month ago,"['Parking', 'Balcony', 'Water Supply', 'Fencing', 'Modular Kitchen', 'Store Room', 'Water Tank']"
"House For Sale In Mahalaxmi Nagarpalika, Lalitpur","Changathali-7 Mahalaxmi Nagarpalika, Mahalaxmi Nagarpalika, Lalitpur","NPR. 1,80,00,000",4,3,3.0,1,North,2073.0,133,3 Aana,13 Feet / Gravelled,990 Sq. Feet,1 month ago,"['Drainage', 'Parking', 'Balcony', 'Fencing', 'Water Supply', 'Modular Kitchen', 'Wifi', 'Store Room']"
"House For Sale In Mahalaxmi Nagarpalika, Lalitpur","Changathali-7 Lalitpur, Mahalaxmi Nagarpalika, Lalitpur","NPR. 1,80,00,000",4,3,3.0,1,North,2073.0,103,3 Aana,13 Feet / Gravelled,990 Sq. Feet,1 month ago,"['Drainage', 'Parking', 'Balcony', 'Water Supply', 'Modular Kitchen', 'Wifi', 'Store Room']"
"Bungalow : House For Sale In Maharajgunj, Kathmandu","Near Kanti Children Hospital, Maharajgunj, Kathmandu","NPR. 11,00,00,000",0,0,2.5,2,South East,,691,0-10-0-0 Aana,12 Feet / Blacktopped,N/A Aana,1 month ago,[]
"House For Sale In Thamel, Kathmandu","Golkhupakha, Thamel, Thamel, Kathmandu","NPR. 2,60,00,000 Onwards",6,5,3.0,0,East,2073.0,222,4 Aana,0 Feet / Alley,3.2 Aana,1 month ago,"['Lawn', 'Balcony', 'Water Supply', 'Fencing']"
"4 Storey Residential Flat System House : House For Sale In Kalanki, Kathmandu","Kalanki Malpot, Kritipur-1, Kalanki, Kathmandu","NPR. 3,35,00,000 Total Price",8,5,4.0,0,East,2065.0,182,0-4-0-0 Aana,8 Feet / Blacktopped,3200 Sq. Feet,2 months ago,"['Balcony', 'Deck', 'Fencing', 'Garden', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Water Tank', 'Water Well', 'Internet', 'Parking', 'Store Room']"
"House For Sale : House For Sale In Chauthe, Pokhara","Pargati tole, Chauthe, Pokhara","NPR. 2,80,00,000",6,6,3.0,3,North East,2023.0,260,133.30 Sq. Meter,20 Feet / Blacktopped,900 Sq. Feet,2 months ago,"['Parking', 'Balcony', 'Modular Kitchen', 'Washing Machine', 'Solar Water', 'Water Tank', 'Electricity Backup', 'Internet', 'Water Supply']"
"House For Sale Nakhu : House For Sale In Nakkhu, Lalitpur","Aadinath marga, Nakkhu, Lalitpur","NPR. 3,60,00,000 Onwards",4,5,2.0,2,South West,2076.0,273,0-4-1-0 Aana,13 Feet / Paved,856 Sq. Feet,2 months ago,"['Drainage', 'Parking', 'Balcony', 'Garden', 'Solar Water', 'Modular Kitchen', 'Water Tank', 'Water Well', 'Store Room']"
"House On Sale In Ranibari : House For Sale In Ranibari, Kathmandu","Ranibari, Ranibari, Kathmandu","NPR. 2,20,00,000",9,4,3.0,0,South East,2050.0,294,2.75 Aana,8 Feet / Gravelled,2.5 Aana,2 months ago,"['Parking', 'Balcony', 'Fencing', 'Water Supply', 'Water Tank', 'Water Well']"
"House On Sale In Imadol : House For Sale In Imadol, Lalitpur","Near downtown, Imadol, Lalitpur","NPR. 2,80,00,000 Onwards",7,3,3.0,1,North East,2022.0,191,3-2-2 Aana,18 Feet / Gravelled,2-3 Aana,1 month ago,"['Parking', 'Balcony', 'Modular Kitchen', 'Water Well', 'Water Tank', 'Solar Water', 'Maintenance']"
"House On Sale In Tikathali : House For Sale In Tikathali, Lalitpur","Tikathali, Tikathali, Lalitpur","NPR. 3,50,00,000 Onwards",6,5,3.0,1,North East,,161,4 Aana,10 Feet,3 Aana,1 month ago,"['Parking', 'Balcony', 'Water Supply', 'Fencing', 'Modular Kitchen', 'Store Room', 'Water Tank']"
"House For Sale In Mahalaxmi Nagarpalika, Lalitpur","Changathali-7 Mahalaxmi Nagarpalika, Mahalaxmi Nagarpalika, Lalitpur","NPR. 1,80,00,000",4,3,3.0,1,North,2073.0,134,3 Aana,13 Feet / Gravelled,990 Sq. Feet,1 month ago,"['Drainage', 'Parking', 'Balcony', 'Fencing', 'Water Supply', 'Modular Kitchen', 'Wifi', 'Store Room']"
"House For Sale In Mahalaxmi Nagarpalika, Lalitpur","Changathali-7 Lalitpur, Mahalaxmi Nagarpalika, Lalitpur","NPR. 1,80,00,000",4,3,3.0,1,North,2073.0,104,3 Aana,13 Feet / Gravelled,990 Sq. Feet,1 month ago,"['Drainage', 'Parking', 'Balcony', 'Water Supply', 'Modular Kitchen', 'Wifi', 'Store Room']"
"Bungalow : House For Sale In Maharajgunj, Kathmandu","Near Kanti Children Hospital, Maharajgunj, Kathmandu","NPR. 11,00,00,000",0,0,2.5,2,South East,,692,0-10-0-0 Aana,12 Feet / Blacktopped,N/A Aana,1 month ago,[]
"House For Sale In Thamel, Kathmandu","Golkhupakha, Thamel, Thamel, Kathmandu","NPR. 2,60,00,000 Onwards",6,5,3.0,0,East,2073.0,223,4 Aana,0 Feet / Alley,3.2 Aana,1 month ago,"['Lawn', 'Balcony', 'Water Supply', 'Fencing']"
"4 Storey Residential Flat System House : House For Sale In Kalanki, Kathmandu","Kalanki Malpot, Kritipur-1, Kalanki, Kathmandu","NPR. 3,35,00,000 Total Price",8,5,4.0,0,East,2065.0,183,0-4-0-0 Aana,8 Feet / Blacktopped,3200 Sq. Feet,2 months ago,"['Balcony', 'Deck', 'Fencing', 'Garden', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Water Tank', 'Water Well', 'Internet', 'Parking', 'Store Room']"
"House For Sale : House For Sale In Chauthe, Pokhara","Pargati tole, Chauthe, Pokhara","NPR. 2,80,00,000",6,6,3.0,3,North East,2023.0,261,133.30 Sq. Meter,20 Feet / Blacktopped,900 Sq. Feet,2 months ago,"['Parking', 'Balcony', 'Modular Kitchen', 'Washing Machine', 'Solar Water', 'Water Tank', 'Electricity Backup', 'Internet', 'Water Supply']"
"House For Sale Nakhu : House For Sale In Nakkhu, Lalitpur","Aadinath marga, Nakkhu, Lalitpur","NPR. 3,60,00,000 Onwards",4,5,2.0,2,South West,2076.0,274,0-4-1-0 Aana,13 Feet / Paved,856 Sq. Feet,2 months ago,"['Drainage', 'Parking', 'Balcony', 'Garden', 'Solar Water', 'Modular Kitchen', 'Water Tank', 'Water Well', 'Store Room']"
"House On Sale In Ranibari : House For Sale In Ranibari, Kathmandu","Ranibari, Ranibari, Kathmandu","NPR. 2,20,00,000",9,4,3.0,0,South East,2050.0,295,2.75 Aana,8 Feet / Gravelled,2.5 Aana,2 months ago,"['Parking', 'Balcony', 'Fencing', 'Water Supply', 'Water Tank', 'Water Well']"
"House On Sale Sital Hight Imadol : House For Sale In Imadol, Lalitpur","Sital hight, Imadol, Lalitpur",NPR. 255 Onwards,4,4,3.0,0,North East,,224,3-1-0 Aana,13 Feet,2-3 Aana,2 months ago,"['Parking', 'Store Room']"
"House For Sale New House : House For Sale In Lekhnath, Pokhara","Lekhnath power house near mandip milan hall and behind gurukul school, Lekhnath, Pokhara","NPR. 1,25,00,000 Onwards",2,2,1.0,1,North,2022.0,326,4.3.2 Aana,20 Feet / Gravelled,1131 Sq. Feet,2 months ago,[]
"House On Sell In Imadol : House For Sale In Imadol, Lalitpur","Imadol, Imadol, Lalitpur",NPR. 285 Onwards,4,4,3.0,4,North West,,277,3-2-0 Aana,13 Feet,1026 Sq. Feet,2 months ago,"['Parking', 'Modular Kitchen', 'Water Tank']"
