price,LAND AREA,HOUSE AREA,,BEDS,LIVING,KITCHEN,BATHROOMS,FLOORS,FACED TOWARDS,CATEGORY,TYPE,CODE,UPDATE,VIEWS,FURNISHING,FLAT AREA,PARKING AREA
"Rs. 17,00,00,000 (Negotiable)
(Seventeen crore)",2-3-3-0,6800 SQUARE FEET,,,,,7,4,SOUTH,COMMERCIAL BUILDING (RESIDENTIAL),PILLAR SYSTEM,GB04535,4 YEARS AGO,10165,SEMI FURNISHED,1700 SQUARE FEET,
"Rs. 9,00,000 (Negotiable)",300 SQUARE FEET,300 SQ. FT.-0-0-0,,1,,,,,NORTH,HOUSE (COMMERCIAL/RESIDENTIAL),PILLAR SYSTEM,GB10432,3 MONTHS AGO,100,FULLY FURNISHED,,
"Rs. 25,00,000 (Negotiable)
(25 lakh per aana)",0-4-3-2,,,,,,,,NORTH-EAST,LAND (RESIDENTIAL),NONE,GB05314,4 YEARS AGO,7634,,,
"Rs. 3,92,00,000 (Negotiable)
(Three crore ninety two lakh )",0-3-0-0,409 SQUARE FEET,,17,1,1,5,4,NORTH-WEST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB10302,5 MONTHS AGO,1011,NOT FURNISHED,,
"Rs. 33,00,000 (Negotiable)
(33 lakh per aana)",0-26-0-0,,,,,,,,NORTH-EAST,LAND (COMMERCIAL/RESIDENTIAL),PILLAR SYSTEM,GB05384,5 YEARS AGO,4263,,,
"Rs. 6,00,000 (Negotiable)
(Six lakh )",0-,,,,,,1,3,NONE,OFFICE SPACE (COMMERCIAL/RESIDENTIAL),PILLAR SYSTEM,GB10107,6 MONTHS AGO,53,SEMI FURNISHED,,
"Rs. 2,60,00,000 (Negotiable)
(Two crore sixty lakh )",0-4-2-0,,,5,3,3,7,3,EAST,HOUSE (COMMERCIAL/RESIDENTIAL),PILLAR SYSTEM,GB05786,3 YEARS AGO,4395,SEMI FURNISHED,,
,0-14-0-0,1600 SQUARE FEET,,8,2,2,,2.5,SOUTH-WEST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB10789,2 WEEKS AGO,31,NOT FURNISHED,,
"Rs. 95,000 (Negotiable)
(Ninety five thousand )",1000 SQUARE FEET,,,2,1,1,2,,SOUTH-EAST,APARTMENT (RESIDENTIAL),PILLAR SYSTEM,GB09904,5 MONTHS AGO,481,FULLY FURNISHED,,
"Rs. 3,20,00,000 (Negotiable)
(Three crore twenty lakh )",0-4-0-0,0-4-0-0,,,,4,,5,NORTH-EAST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB10395,3 MONTHS AGO,103,SEMI FURNISHED,,
"Rs. 3,60,00,000 (Negotiable)",0-4-0-0,0-4-0-0,,5,3,2,,2.5,SOUTH,HOUSE (RESIDENTIAL),NONE,GB10573,2 MONTHS AGO,64,NOT FURNISHED,,
"Rs. 34,00,000 (Negotiable)
(Thirty four lakh per)",0-4-1-0,,,,,,,,NONE,LAND (RESIDENTIAL),PILLAR SYSTEM,GB10304,5 MONTHS AGO,46,,,
,0-10-0-0,,,,,,,,SOUTH,LAND (COMMERCIAL/RESIDENTIAL),NONE,GB10637,1 MONTH AGO,18,,,
"Rs. 3,80,00,000 (Negotiable)
(Three crore eighty lakh )",0-6-0-0,,,5,2,3,3,2.5,NONE,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB09979,5 MONTHS AGO,161,NOT FURNISHED,,
"Rs. 1,90,00,000 (Negotiable)
(1 crore 90 lakh)",0-3-2-2,,,10,3,2,4,3.5,EAST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB03475,5 YEARS AGO,1979,SEMI FURNISHED,,
"Rs. 3,50,00,000 (Negotiable)
(Three crore fifty lakh )",0-2-3-0,,,,,,,,NONE,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB10632,1 MONTH AGO,74,,,
"Rs. 2,50,000 / month (Negotiable)
(Two lakh fifty thousand per month)",3000 SQUARE FEET,,,6,1,1,3,,EAST,OFFICE SPACE (COMMERCIAL/RESIDENTIAL),PILLAR SYSTEM,GB09635,11 MONTHS AGO,451,FULLY FURNISHED,,
,0-8-2-0,,,10,4,3,4,4,SOUTH,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB03628,5 YEARS AGO,4489,NOT FURNISHED,,
"Rs. 1,85,00,000 (Negotiable)
(One crore eighty five lakh )",0-3-0-0,,,5,1,1,3,3,EAST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB08923,2 YEARS AGO,5604,SEMI FURNISHED,,
"Rs. 1,45,00,000 (Negotiable)
(One crore forty five lakh )",0-2-2-0,1800 SQUARE FEET,,4,2,2,3,2.5,EAST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB06174,4 YEARS AGO,3641,NOT FURNISHED,,
"Rs. 6,30,000 (Negotiable)
(Six lakh thirty thousand per dhur)",43 DHUR,,,,,,,,NONE,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB10173,6 MONTHS AGO,73,NOT FURNISHED,,
"Rs. 3,50,00,000 (Negotiable)
(Three crore fifty lakh )",0-5-0-0,,,6,3,3,5,3.5,SOUTH-EAST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB08598,2 YEARS AGO,3644,NOT FURNISHED,,
"Rs. 1,10,000 (Negotiable)
(One lakh ten thousand per month)",0-5-2-1,,,,,,,3,EAST,HOUSE (COMMERCIAL/RESIDENTIAL),PILLAR SYSTEM,GB10155,6 MONTHS AGO,754,SEMI FURNISHED,,
"Rs. 70,00,000 (Negotiable)
(70 lakh)",30 DHUR,,,,,,,,NORTH-WEST,LAND (RESIDENTIAL),PILLAR SYSTEM,GB04549,4 YEARS AGO,6965,,,
"Rs. 65,00,000 (Negotiable)
(65 lakh per aana)",1-0-1-2,,,,,,,,SOUTH-EAST,LAND (RESIDENTIAL),NONE,GB03579,5 YEARS AGO,4138,,,
"Rs. 3,15,00,000 (Negotiable)
(Three crore fifteen lakh )",5-2-2-0,900 SQUARE FEET,,6,1,2,2,2.5,SOUTH,HOUSE (RESIDENTIAL),NONE,GB07620,3 YEARS AGO,4054,SEMI FURNISHED,,
"Rs. 2,00,00,000 (Negotiable)
(Two crore )",0-3-1-1,,,3,2,3,,3,WEST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB10591,2 MONTHS AGO,104,,,
"Rs. 1,40,00,000 (Negotiable)
(1 crore 40 lakh)",0-3-3-0,0-3-3-0,,3,2,2,,2,SOUTH,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB04419,6 YEARS AGO,5091,FULLY FURNISHED,,
"Rs. 2,00,00,000 (Negotiable)
(2 crore)",0-3-0-0,,,10,,3,5,3.5,NORTH-EAST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB05674,5 YEARS AGO,2334,SEMI FURNISHED,,
"Rs. 50,000 (Negotiable)
(Fifty thousand per month)",0-0-0-0,1113 SQUARE FEET,,2,1,1,2,6,SOUTH,APARTMENT (RESIDENTIAL),PILLAR SYSTEM,GB10066,3 MONTHS AGO,232,FULLY FURNISHED,,
"Rs. 1,97,00,000 (Negotiable)
(One crore ninety seven lakh )",0-3-0-3,1700 SQUARE FEET,,4,1,2,4,2.5,SOUTH-EAST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB07588,3 YEARS AGO,7625,NOT FURNISHED,,
"Rs. 2,50,00,000 (Negotiable)
(Two crore fifty lakh )",0-3-2-0,1353 SQUARE FEET,,4,1,1,3,2.5,NORTH-EAST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB08499,2 YEARS AGO,13522,NOT FURNISHED,,
"Rs. 1,75,00,000 (Negotiable)
(One crore seventy five lakh )",0-2-2-1,,,4,,,2,2.5,WEST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB06312,4 YEARS AGO,2966,SEMI FURNISHED,,
"Rs. 2,00,00,000 (Negotiable)
(Two crore )",0-3-2-0,,,6,2,1,,3,NONE,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB10373,2 MONTHS AGO,184,NOT FURNISHED,,
,10-0-0-0,,,,,,,,NONE,HOUSE (RESIDENTIAL),NONE,GB10159,6 MONTHS AGO,87,NOT FURNISHED,,
"Rs. 15,00,000 (Negotiable)
(Fifteen lakh )",0-4-2-0,,,,,,,,SOUTH,LAND (RESIDENTIAL),NONE,GB09341,1 YEAR AGO,2712,,,
"Rs. 75,000 (Negotiable)
(Seventy five thousand )",0-3-0-0,1500 SQUARE FEET,,3,1,1,4,3,SOUTH,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB10592,2 WEEKS AGO,204,FULLY FURNISHED,,
"Rs. 50,000 (Negotiable)
(Fifty thousand )",0-3-0-0,,,,,,,,NONE,LAND (RESIDENTIAL),NONE,GB10151,6 MONTHS AGO,38,,,
"Rs. 70,000 / month (Negotiable)
(Seventy thousand )",0-7-3-0,,,4,1,1,,2.5,SOUTH,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB10222,5 MONTHS AGO,97,FULLY FURNISHED,,
"Rs. 1,90,00,000 (Negotiable)
(One crore ninety lakh )",0-3-1-0,,,,,,,,NONE,HOUSE (RESIDENTIAL),NONE,GB09992,8 MONTHS AGO,105,NOT FURNISHED,,
,680 SQUARE FEET,,,2,1,1,1,,SOUTH-WEST,APARTMENT (RESIDENTIAL),PILLAR SYSTEM,GB08690,10 MONTHS AGO,4801,FULLY FURNISHED,800 SQUARE FEET,
"Rs. 3,40,00,000 (Negotiable)
(Three crore forty lakh )",1-6-0-0,0-6-1-0,,7,1,1,3,2.5,SOUTH,HOUSE (COMMERCIAL/RESIDENTIAL),PILLAR SYSTEM,GB06991,4 YEARS AGO,3069,SEMI FURNISHED,,
,0-3-2-0,,,4,1,2,3,2.5,NORTH-WEST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB03739,6 YEARS AGO,2600,SEMI FURNISHED,,
"Rs. 2,00,00,000 (Negotiable)
(2 crore)",0-2-2-2,,,14,4,4,4,,NORTH-WEST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB03723,5 YEARS AGO,1273,FULLY FURNISHED,,
"Rs. 3,20,00,000 (Negotiable)
(3 crore 20 lakh)",0-5-2-2,2850 SQUARE FEET,,6,2,2,4,2.5,NORTH-EAST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB05385,4 YEARS AGO,6505,SEMI FURNISHED,,
"Rs. 1,25,00,000 (Negotiable)
(One crore twenty five lakh)",0-10-0-0,,,8,1,2,5,2.5,EAST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB03566,4 YEARS AGO,2785,SEMI FURNISHED,,
"Rs. 2,00,00,000 (Negotiable)
(Two crore )",0-3-0-3,,,5,2,2,,2.5,NONE,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB10659,1 MONTH AGO,34,,,
"Rs. 60,00,000 (Negotiable)
(Sixty lakh per aana)",0-8-0-0,,,,,,,,NONE,LAND (RESIDENTIAL),NONE,GB08746,2 YEARS AGO,3094,,,
,0-16-0-0,21500 SQUARE FEET,,,,,20,6,NORTH-EAST,COMMERCIAL BUILDING (RESIDENTIAL),PILLAR SYSTEM,GB05191,5 YEARS AGO,2587,NOT FURNISHED,3500 SQUARE FEET,4000 SQUARE FEET
"Rs. 80,00,000 (Negotiable)
(Eighty lakh per aana)",0-36-0-0,,,,,,,,SOUTH-EAST,LAND (RESIDENTIAL),NONE,GB04901,2 YEARS AGO,7293,,,
"Rs. 35,00,000 (Negotiable)
(Thirty five lakh per aana)",0-4-0-0,,,,,,,,NORTH,LAND (RESIDENTIAL),NONE,GB09811,10 MONTHS AGO,2273,,,
"Rs. 2,30,00,000 (Negotiable)
(Two crore thirty lakh )",0-3-0-0,,,5,3,1,4,,NONE,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB10441,4 MONTHS AGO,1050,NOT FURNISHED,,
"Rs. 75,000 (Negotiable)
(Seventy five thousand per month)",0-8-0-0,,,,,,1,1,NONE,SHUTTER/S (RESIDENTIAL),PILLAR SYSTEM,GB10434,4 MONTHS AGO,318,SEMI FURNISHED,,
"Rs. 85,000 (Negotiable)
(Eighty five thousand per month)",0-6-0-1,3400 SQUARE FEET,,6,3,3,,3.5,SOUTH-EAST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB06367,4 YEARS AGO,969,SEMI FURNISHED,,
"Rs. 60,00,000 (Negotiable)
(60 lakh per anna)",0-13-0-0,,,,,,,,SOUTH-WEST,LAND (COMMERCIAL/RESIDENTIAL),PILLAR SYSTEM,GB05623,5 YEARS AGO,3170,,,
"Rs. 60,00,000 (Negotiable)
(Sixty lakh)",1822 SQUARE FEET,,,2,1,1,1,1,NORTH,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB02845,4 YEARS AGO,15449,NOT FURNISHED,,
"Rs. 3,50,00,000 (Negotiable)
(Three crore fifty lakh )",0-4-0-0,,,5,2,2,,3,SOUTH,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB10635,1 MONTH AGO,33,NOT FURNISHED,,
"Rs. 1,75,00,000 (Negotiable)
(1 crore 75 lakh)",0-3-2-0,2600 SQUARE FEET,,6,3,2,4,3.5,SOUTH-WEST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB05648,3 YEARS AGO,5118,SEMI FURNISHED,,
"Rs. 75,00,000 (Negotiable)
(Seventy five lakh )",599 SQUARE FEET,,,,,,,,NONE,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB09733,11 MONTHS AGO,931,NOT FURNISHED,,
"Rs. 1,25,00,000 (Negotiable)
(1 Crore 25 Lakh)",2369 SQUARE FEET,,,2,1,1,1,1,,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB02874,6 YEARS AGO,5853,NOT FURNISHED,,
,9-0-0-0,,,,,,,,EAST,LAND (COMMERCIAL/RESIDENTIAL),NONE,GB03606,7 YEARS AGO,1249,,,
"Rs. 80,00,000 (Negotiable)
(Eighty lakh )",,,,2,1,1,1,,NORTH-WEST,APARTMENT (RESIDENTIAL),PILLAR SYSTEM,GB06039,4 MONTHS AGO,18528,NOT FURNISHED,767 SQUARE FEET,
"Rs. 1,30,00,000 (Negotiable)
(One crore thirty lakh )",0-,,,,,,,,NONE,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB10006,7 MONTHS AGO,50,SEMI FURNISHED,,
"Rs. 34,00,000 (Negotiable)
(Thirty four lakh )",14-0-0-0,410 SQUARE FEET,,1,1,1,1,10,NONE,APARTMENT (RESIDENTIAL),PILLAR SYSTEM,GB10300,4 MONTHS AGO,2192,NOT FURNISHED,,
,0-0-0-0,,,,,,,,SOUTH,SHUTTER/S (RESIDENTIAL),PILLAR SYSTEM,GB10521,3 MONTHS AGO,439,NOT FURNISHED,,
"Rs. 2,60,00,000 (Negotiable)
(Two crore sixty lakh )",0-4-0-0,,,,,,,,NORTH-EAST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB09339,1 YEAR AGO,1440,NOT FURNISHED,,
"Rs. 1,40,00,000 (Negotiable)
(One crore forty lakh )",0-4-3-0,950 SQUARE FEET,,2,1,1,1,1,NORTH,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB05729,3 YEARS AGO,3219,NOT FURNISHED,,
"Rs. 1,60,00,000 (Negotiable)
(One crore sixty lakh )",0-7-1-0,,,2,,1,1,1,EAST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB06970,4 YEARS AGO,3459,NOT FURNISHED,,
"Rs. 2,90,00,000 (Negotiable)
(Two crore ninety lakh )",0-12-0-0,2717 SQUARE FEET,,14,1,2,,2.5,SOUTH,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB09803,10 MONTHS AGO,1128,NOT FURNISHED,,
"Rs. 2,45,00,000 (Negotiable)
(Two crore forty five lakh )",19 DHUR,,,6,2,1,5,2.5,NORTH,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB10097,7 MONTHS AGO,62,FULLY FURNISHED,,
"Rs. 2,80,00,000 (Negotiable)
(Two crore eighty lakh )",0-3-0-0,0-3-0-0,,4,2,1,,2.5,NORTH-EAST-SOUTH,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB10588,2 MONTHS AGO,93,,,
,0-6-2-0,2200 SQUARE FEET,,5,1,2,3,2.5,SOUTH-EAST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB06846,3 YEARS AGO,10286,SEMI FURNISHED,,
"Rs. 17,00,000 (Negotiable)
(Seventeen lakh per aana)",0-3-0-0,,,,,,,,EAST-SOUTH-WEST,LAND (RESIDENTIAL),NONE,GB10689,3 DAYS AGO,628,,,
"Rs. 3,50,000 / month (Negotiable)
(Three lakh fifty thousand )",1-9-0-0,,,5,2,1,2,3,SOUTH-WEST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB10247,5 MONTHS AGO,57,FULLY FURNISHED,,
"Rs. 3,00,00,000 (Negotiable)
(Three crore )",0-5-2-0,,,8,,,3,2.5,SOUTH-EAST,HOUSE (COMMERCIAL/RESIDENTIAL),WALL BEARING,GB02831,2 YEARS AGO,2745,NOT FURNISHED,,
"Rs. 4,50,000 (Negotiable)
(Four lakh fifty thousand )",0-21-0-0,,,,,,,,NONE,LAND (RESIDENTIAL),NONE,GB09789,6 MONTHS AGO,2912,,,
,0-,,,,,,,,NONE,LAND (RESIDENTIAL),PILLAR SYSTEM,GB10565,2 MONTHS AGO,58,,,
,,,,,,,,,NONE,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB10638,1 MONTH AGO,37,FULLY FURNISHED,,
"Rs. 1,72,00,000 (Negotiable)
(1 crore 72 lakh)",0-2-3-0,2117 SQUARE FEET,,5,3,3,3,3,NORTH-EAST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB04484,6 YEARS AGO,19153,SEMI FURNISHED,,
"Rs. 55,00,000 (Negotiable)
(Fifty five lakh )",0-6-2-0,,,,,,,,NONE,LAND (RESIDENTIAL),NONE,GB10391,4 MONTHS AGO,64,,,
"Rs. 10,00,000 (Negotiable)
(10 lakh per ropani)",7-5-0-0,,,,,,,,NORTH-EAST,LAND (COMMERCIAL/RESIDENTIAL),NONE,GB03622,7 YEARS AGO,2875,,,
"Rs. 1,75,00,000 (Negotiable)
(One crore seventy five lakh )",0-3-3-3,0-3-0-0,,3,3,2,3,2.5,EAST-SOUTH-WEST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB10157,6 MONTHS AGO,288,NOT FURNISHED,,
,2500 SQUARE FEET,,,,,,,,SOUTH,APARTMENT (RESIDENTIAL),PILLAR SYSTEM,GB09847,9 MONTHS AGO,1197,NOT FURNISHED,,
"Rs. 6,00,00,000 (Negotiable)
(Six crore )",0-5-2-0,,,,,,,,SOUTH-EAST,COMMERCIAL BUILDING (RESIDENTIAL),PILLAR SYSTEM,GB10697,1 MONTH AGO,1224,NOT FURNISHED,,
,1-0-0-0,,,,,,,,NONE,APARTMENT (RESIDENTIAL),PILLAR SYSTEM,GB09808,10 MONTHS AGO,1088,FULLY FURNISHED,,
"Rs. 25,00,000 (Negotiable)
(Twenty five lakh per aana)",0-24-0-0,,,,,,,,SOUTH-WEST,LAND (RESIDENTIAL),NONE,GB05843,5 YEARS AGO,2194,,,
"Rs. 5,10,00,000 (Negotiable)
(Five crore ten lakh )",0-7-1-0,,,7,3,2,,3.5,SOUTH-WEST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB10219,5 MONTHS AGO,78,SEMI FURNISHED,,
"Rs. 25,00,000 (Negotiable)
(25 lakh per aana)",0-12-0-0,,,,,,,,WEST,LAND (RESIDENTIAL),WALL BEARING,GB03483,5 YEARS AGO,3113,,,
"Rs. 16,00,000 (Negotiable)
(Sixteen lakh )",0-,,,,,,,,NONE,RESTAURANT (RESIDENTIAL),PILLAR SYSTEM,GB10141,6 MONTHS AGO,90,NOT FURNISHED,,
"Rs. 4,98,00,000 (Negotiable)
(Four crore ninety eight lakh )",0-5-3-0,,,7,4,4,4,4.25,NONE,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB09778,5 MONTHS AGO,236,NOT FURNISHED,,
"Rs. 98,00,000 (Negotiable)
(Ninety eight lakh )",0-8-2-0,,,,,,,,NORTH-WEST,LAND (COMMERCIAL/RESIDENTIAL),NONE,GB10690,3 DAYS AGO,483,,,
,0-5-0-0,,,5,2,2,,3.5,SOUTH-WEST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB10333,5 MONTHS AGO,100,SEMI FURNISHED,,
"Rs. 3,75,00,000 (Negotiable)
(Three crore seventy five lakh )",0-4-2-0,2500 SQUARE FEET,,5,3,3,4,2.5,SOUTH-WEST,HOUSE (COMMERCIAL/RESIDENTIAL),PILLAR SYSTEM,GB07835,2 YEARS AGO,3450,SEMI FURNISHED,,
"Rs. 35,00,000 (Negotiable)
(Thirty five lakh per anna)",0-20-0-0,,,,,,,,SOUTH-EAST,LAND (COMMERCIAL/RESIDENTIAL),NONE,GB06302,3 YEARS AGO,4301,,,
"Rs. 1,35,00,000
(One crore thirty five lakh )",0-2-3-0,,,2,1,1,,1,NORTH,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB10739,4 WEEKS AGO,47,,,
"Rs. 2,10,00,000 (Negotiable)
(Two Crore Ten Lakh)",0-2-2-0,,,9,,2,3,2.5,SOUTH-WEST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB06355,4 YEARS AGO,4459,SEMI FURNISHED,,
"Rs. 4,50,00,000 (Negotiable)
(Four crore fifty lakh )",0-5-0-0,0-5-0-0,,4,2,1,5,3,SOUTH-WEST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB08668,1 YEAR AGO,6476,FULLY FURNISHED,,
"Rs. 1,99,00,000 (Negotiable)
(One crore ninety nine lakh )",0-2-2-0,,,5,2,1,3,2.5,SOUTH-WEST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB07828,3 YEARS AGO,9882,NOT FURNISHED,,
"Rs. 2,75,00,000 (Negotiable)
(Two crore seventy five lakh )",0-4-0-1,,,5,2,2,4,3,WEST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB09741,10 MONTHS AGO,1465,NOT FURNISHED,,
"Rs. 4,50,000 (Negotiable)
(Four lakh fifty thousand )",0-5-0-0,,,,,,,,NONE,FLAT (RESIDENTIAL),PILLAR SYSTEM,GB10361,5 MONTHS AGO,40,NOT FURNISHED,,
,4100 SQUARE FEET,,,4,1,1,3,2.5,NORTH-WEST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB10569,2 MONTHS AGO,677,NOT FURNISHED,,
"Rs. 60,000 (Negotiable)
(each floor 60 thousand per month)",0-,,,,,,,5,EAST,COMMERCIAL BUILDING (COMMERCIAL),PILLAR SYSTEM,GB05799,5 YEARS AGO,2005,NOT FURNISHED,1000 SQUARE FEET,
"Rs. 1,50,00,000 (Negotiable)
(One crore fifty lakh )",0-9-0-0,,,,,,,,NONE,LAND (COMMERCIAL/RESIDENTIAL),PILLAR SYSTEM,GB10248,5 MONTHS AGO,71,,,
"Rs. 3,50,000 / month (Negotiable)
(Three lakh fifty thousand )",2-1-0-0,,,4,2,2,,3,SOUTH-EAST,HOUSE (RESIDENTIAL),WALL BEARING,GB10387,4 MONTHS AGO,75,SEMI FURNISHED,,
"Rs. 2,62,00,000 (Negotiable)
(Two crore sixty two lakh )",0-5-0-0,3-0-2-0,,5,2,2,,3,EAST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB10265,5 MONTHS AGO,82,FULLY FURNISHED,,
"Rs. 22,50,000 (Negotiable)
(Twenty two lakh fifty thousand )",0-4-0-0,,,,,,,,NONE,LAND (RESIDENTIAL),NONE,GB09972,8 MONTHS AGO,41,,,
"Rs. 1,75,00,000 (Negotiable)
(1 crore 75 lakh)",0-6-3-0,,,8,2,3,5,3.5,EAST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB03596,7 YEARS AGO,4733,SEMI FURNISHED,,
"Rs. 13,00,000 (Negotiable)
(Thirteen lakh )",0-,,,,,,,,WEST,SHUTTER/S (RESIDENTIAL),PILLAR SYSTEM,GB10538,2 MONTHS AGO,190,FULLY FURNISHED,,
"Rs. 3,40,00,000 (Negotiable)
(Three crore forty lakh )",0-3-1-1,0-3-1-1,,5,1,1,,2.5,EAST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB10303,5 MONTHS AGO,49,SEMI FURNISHED,,
"Rs. 50,00,000 (Negotiable)
(50 lakhs)",14 DHUR,14 DHUR,,,,,,,NORTH-WEST,HOUSE (RESIDENTIAL),WALL BEARING,GB04522,6 YEARS AGO,15274,NOT FURNISHED,,
"Rs. 2,55,00,000 (Negotiable)
(Two crore fifty five lakh )",0-4-0-0,,,5,2,2,,,NONE,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB10711,1 MONTH AGO,26,NOT FURNISHED,,
,0-7-0-0,,,,,,,,NORTH-EAST,LAND (RESIDENTIAL),NONE,GB09611,10 MONTHS AGO,765,,,
"Rs. 3,75,00,000 (Negotiable)
(Three crore seventy five lakh )",0-5-2-0,2642 SQUARE FEET,,5,1,1,,3,SOUTH,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB10578,2 MONTHS AGO,119,NOT FURNISHED,,
"Rs. 1,90,00,000 (Negotiable)
(One crore ninety lakh )",0-4-2-2,,,5,3,3,4,,EAST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB06337,4 YEARS AGO,4364,SEMI FURNISHED,,
"Rs. 2,10,00,000 (Negotiable)
(Two crore ten lakh )",0-3-1-0,2100 SQUARE FEET,,6,3,2,6,2.5,WEST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB07595,3 YEARS AGO,5088,NOT FURNISHED,,
,0-10-2-3,,,,,,,,NONE,LAND (COMMERCIAL/RESIDENTIAL),PILLAR SYSTEM,GB10517,3 MONTHS AGO,40,,,
"Rs. 92,00,000 (Negotiable)
(Ninety two lakh )",1-0-0-0,,,,,,,,NONE,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB02218,2 YEARS AGO,5883,NOT FURNISHED,,
"Rs. 1,55,00,000 (Negotiable)
(One crore fifty five lakh )",0-,,,2,1,1,,1,NONE,SCHOOL (RESIDENTIAL),PILLAR SYSTEM,GB10713,1 MONTH AGO,58,SEMI FURNISHED,,
,0-11-2-0,,,,,,,,WEST,HOUSE (RESIDENTIAL),WALL BEARING,GB03016,2 YEARS AGO,2860,NOT FURNISHED,,
"Rs. 2,70,00,000 (Negotiable)
(Two crore seventy lakh )",0-4-1-0,0-3-0-0,,,,,,,NONE,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB02631,2 YEARS AGO,2797,SEMI FURNISHED,,
,0-7-1-2,12000 SQUARE FEET,,36,,1,13,5.5,WEST,COMMERCIAL BUILDING (COMMERCIAL/RESIDENTIAL),PILLAR SYSTEM,GB05177,5 YEARS AGO,1936,NOT FURNISHED,2200 SQUARE FEET,
"Rs. 60,000 (Negotiable)
(full furnished 2bhk/1bhk for rent jhamsikhel Lalitpur )",0-,,,2,1,1,,1,SOUTH-EAST,APARTMENT (RESIDENTIAL),PILLAR SYSTEM,GB10822,2 DAYS AGO,31,FULLY FURNISHED,,
"Rs. 3,60,00,000 (Negotiable)
(Three crore sixty lakh )",0-6-0-0,,,3,1,1,3,2.5,WEST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB08572,2 YEARS AGO,10274,SEMI FURNISHED,,
"Rs. 25,00,000 (Negotiable)
(Twenty five lakh per aana)",0-5-0-0 0-5-0-0,,,,,,,,NONE,LAND (RESIDENTIAL),NONE,GB06269,4 YEARS AGO,1799,,,
