Title,Address,Price,Bedroom,Bathroom,Floors,Parking,Face,Year,Views,Area,Road,Build Area,Posted,Amenities
"House : House For Sale In Kavresthali, Kathmandu","Kavresthali, Balaju, Kavresthali, Kathmandu",19000000,6,3,3.0,1,North East,2018.0,327,3.2 Aana,0 Feet,792 Sq. Feet,9 months ago,"['Backyard', 'Balcony', 'Fencing', 'Drainage', 'Water Supply', 'Modular Kitchen', 'Water Well', 'Water Tank', 'Solar Water', 'Washing Machine']"
"HOUSE FOR RENT : House For Rent In Godawari, Lalitpur","Godawari, Godawari, Lalitpur",175000,4,3,2.0,1,East,2046.0,541,15000 Sq. Feet,15 Feet / Concrete,3300 Sq. Feet,9 months ago,"['Lawn', 'Garage', 'Backyard', 'Balcony', 'Fencing', 'Frontyard', 'Garden', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank']"
"Ghaderi Jagga : Land For Sale In Sipadol, Bhaktapur","10, Sipadol, Bhaktapur",15,0,0,,0,East,,465,4 Aana,8 Feet / Blacktopped,4 Aana,9 months ago,[]
"BUDANILKANTHA HOMES : House For Sale In Budhanilkantha, Kathmandu","NA, Budhanilkantha, Kathmandu",30500000,4,4,3.0,2,North East,2019.0,740,5 Aana,15 Feet / Blacktopped,N/A Sq. Feet,9 months ago,"['Modular Kitchen', 'Water Supply', 'Drainage', 'Wifi', 'Garage', 'Lawn', 'Balcony', 'Microwave']"
"Land : Land For Sale In Lamatar, Lalitpur","Nearby Sirutar, Lamatar, Lalitpur",1250000,0,0,,0,East,,253,6.5 Aana,13 Feet / Gravelled,N/A Aana,9 months ago,[]
"Land Sale At Lalitpur Kusunti.Ringroad : Land For Sale In Kusunti, Lalitpur","Nearby Ringroad, Kusunti, Lalitpur",6000000,0,0,,0,East,,193,11 Aana,26 Feet,N/A Aana,9 months ago,[]
"Tikathaliko Ghar Bikrima : House For Sale In Tikathali, Lalitpur","Tikathali, Tikathali, Lalitpur",22500000,6,3,3.0,1,East,2076.0,344,0-3-2-0 Ropani,12 Feet / Blacktopped,2100 Ropani,9 months ago,['Water Supply']
"HOUSE FOR SALE IN CHITWAN : House For Sale In Bharatpur, Chitwan","bharattpur-2 aaptari near samata school, Bharatpur, Chitwan",23000000,11,6,3.0,3,North,2019.0,362,10 Dhur,20 Feet / Blacktopped,10 Dhur,9 months ago,"['Garage', 'Balcony', 'Fencing', 'Wifi', 'Water Supply', 'TV Cable', 'Water Tank']"
"BUDHANILKANTHA COLONY : House For Sale In Budhanilkantha, Kathmandu","NA, Budhanilkantha, Kathmandu",33000000,3,4,3.0,1,East,2015.0,1.5K,0.3.3.3 Aana,20 Feet / Blacktopped,18000 Sq. Feet,9 months ago,"['Garage', 'Lawn', 'Balcony', 'Swimming Pool', 'Gym', 'Garden', 'Frontyard', 'Drainage', 'Wifi', 'Modular Kitchen', 'Water Supply']"
"Land For Sale In Butwal, Butwal","Jogikuti Chowk, Butwal, Butwal",300000,0,0,,0,East,,5.5K,10 Dhur,12 Feet / Blacktopped,N/A Dhur,9 months ago,[]
"Land For Sale In Madhyapur Thimi, Bhaktapur","opposite to TB Hospital., Madhyapur Thimi, Bhaktapur",3200000,0,0,,0,West,,384,6 Aana,13 Feet / Blacktopped,N/A Sq. Feet,9 months ago,[]
"House For Sale In Lazimpat, Kathmandu","Khursanitar, Lazimpat, Kathmandu",55000000,10,5,,5,South,,472,8 Aana,15 Feet / Gravelled,N/A Sq. Feet,9 months ago,"['Balcony', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank']"
"3 Aana Land At Dhapakhel, Lalitpur : Land For Sale In Dhapakhel, Lalitpur","Dhapakhel, Dhapakhel, Lalitpur",2350000,0,0,0.0,0,South,,422,0-3-0-0 Aana,13 Feet / Blacktopped,N/A Aana,9 months ago,[]
"Kapan House For Sale.. : House For Sale In Kapan, Kathmandu","Kapan, Budanilkantha-11, Kapan, Kathmandu",10600000,2,1,1.0,1,South,,783,3 Aana,10 Feet,3 Aana,9 months ago,"['Garage', 'Wifi', 'Drainage', 'Water Supply', 'Water Tank', 'Water Well']"
"Business For Rent In Baneshwor, Kathmandu","New Baneshwor, Baneshwor, Kathmandu",35000,0,0,,0,East,,329,3 Aana,0 Feet,N/A Aana,9 months ago,[]
"LAND ON RENT : Land For Rent In Pepsicola, Kathmandu","PEPSICOLA, Pepsicola, Kathmandu",38000,0,0,,0,East,,1.1K,14 Aana,20 Feet,N/A Aana,9 months ago,[]
"Land For Sale In Fikal, Illam","Fikal, Fikal, Illam",1850000,0,0,0.0,0,South,,206,0-4-2-1 Ropani,16 Feet / Blacktopped,N/A Sq. Feet,10 months ago,[]
"Land Sale At Nawalparasi : Land For Sale In Kawasoti, Nawalparasi","Shiva Mandir, Kawasoti, Nawalparasi",2000000,0,0,,0,North,,508,6 Kattha,6 Meter / Gravelled,N/A Kattha,9 months ago,[]
"Land For Sale In Dhapakhel, Lalitpur","Nagdaha, Dhapakhel, Lalitpur",1500000,0,0,,0,South,,488,4 Sq. Feet,12 Feet,N/A Sq. Feet,10 months ago,[]
"Land For Sale In Durbar Marg, Kathmandu","Durbar Marg, Durbar Marg, Kathmandu",20000000,0,0,,0,South,,379,14 Aana,20 Feet,N/A Aana,10 months ago,[]
"Land For Sale In Bhaisepati, Lalitpur","Fulbari Marg, Bhaisepati, Lalitpur",2600000,0,0,,0,South,,382,0-5-3-1 Aana,13 Feet,N/A Sq. Feet,10 months ago,[]
"Land For Sale In Dharan, Dharan","Nearby, Fusre Camp, Dharan, Dharan",490000,0,0,,0,West,,1K,1 Kattha,30 Feet / Blacktopped,N/A Sq. Feet,10 months ago,[]
"Land For Sale In Duwakot, Bhaktapur","Duwakot, Duwakot, Bhaktapur",1450000,0,0,0.0,0,South,,249,0-4-3-0 Ropani,12 Feet / Soil Stabilized,N/A Sq. Feet,10 months ago,[]
"OFFICE SPACE FOR RENT AT DAI COMPLEX : Office Space For Rent In Guheshwori, Kathmandu","Panchakanya Margh, Guheshwori, Kathmandu",100,0,0,6.0,1,West,2017.0,455,75000 Sq. Feet,30 Feet / Paved,42000 Sq. Feet,10 months ago,"['Deck', 'Wifi', 'Drainage', 'Fencing', 'Water Supply', 'Air Condition']"
"Land For Sale In Tripureshwor, Kathmandu","Baidhya Chowk, Tripureshwor, Kathmandu",4700000,0,0,,0,South,,319,11 Aana,12 Feet,N/A Sq. Feet,10 months ago,[]
"Apartment For Rent In Lazimpat, Kathmandu","Lazimpat, Lazimpat, Kathmandu",110000,3,3,,0,South East,,860,1200 Sq. Feet,20 Feet,N/A Sq. Feet,10 months ago,"['Modular Kitchen', 'TV Cable', 'Drainage', 'Water Supply', 'Water Tank']"
"Land For Sale In Hattigauda, Kathmandu","Hattigauda, Hattigauda, Kathmandu",2800000,0,0,,0,East,,352,4 Aana,15 Feet,N/A Sq. Feet,10 months ago,[]
"Land For Sale In Changunarayan, Bhaktapur","Bageshwori, Changunarayan, Bhaktapur",725000,0,0,,0,East,,332,14 Aana,13 Feet,N/A Sq. Feet,10 months ago,[]
"Apartment For Rent In Jhamsikhel, Lalitpur","Jhamsikhel, Jhamsikhel, Lalitpur",180000,2,2,,0,East,,488,1200 Sq. Feet,13 Feet,N/A Sq. Feet,10 months ago,"['Air Condition', 'Balcony', 'Modular Kitchen', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply']"
"Dhapakhel House On Rent : House For Rent In Dhapakhel, Lalitpur","Dhapkhel, Dhapakhel, Lalitpur",125000,6,4,3.0,2,South,2016.0,437,3080 Sq. Feet,20 Feet / Blacktopped,N/A Aana,10 months ago,"['Garage', 'Backyard', 'Lawn', 'Frontyard', 'Balcony', 'Garden', 'Microwave', 'Wifi', 'Drainage', 'Water Supply', 'Modular Kitchen', 'TV Cable', 'Solar Water', 'Water Tank']"
"House For Sale In Boudha, Kathmandu","Ramhiti, Boudha, Kathmandu",33000000,0,0,4.0,0,East,,360,7 Aana,20 Feet,N/A Sq. Feet,10 months ago,"['Balcony', 'TV Cable', 'Drainage', 'Water Supply', 'Water Tank']"
"Land Sale On Gongabu, Tokha : Land For Sale In Tokha, Kathmandu","Gongabu Tokha, Tokha, Kathmandu",2100000,0,0,,0,East,,354,0-5-3-1 Aana,0 Feet,N/A Aana,10 months ago,[]
"House For Rent In Kupondole, Lalitpur","Kupondole, Kupondole, Lalitpur",170000,0,0,,0,East,,409,8 Aana,13 Feet,N/A Sq. Feet,10 months ago,"['Balcony', 'Wifi', 'Drainage', 'Water Supply', 'Water Tank']"
"House For Rent In Baluwatar, Kathmandu","Baluwatar, Baluwatar, Kathmandu",160000,7,5,3.0,5,South,,406,8 Aana,13 Feet,N/A Sq. Feet,10 months ago,"['Balcony', 'TV Cable', 'Drainage', 'Water Supply', 'Water Tank']"
"House For Rent In Tripureshwor, Kathmandu","Tripureshwor, Tripureshwor, Kathmandu",1000000,0,0,5.0,0,North,,296,8 Aana,20 Feet,14582 Sq. Feet,10 months ago,"['Wifi', 'Drainage', 'Water Supply']"
"Land For Sale In Kupondole, Lalitpur","Nearby Nightingle School, Kupondole, Lalitpur",70000000,9,4,4.0,0,South West,,423,1-1-2-0 Ropani,9 Feet,N/A Sq. Feet,10 months ago,"['Balcony', 'Garden', 'Wifi', 'Drainage', 'Water Supply', 'Water Tank']"
"House For Rent In Gongabu, Kathmandu","Gongabu, Gongabu, Kathmandu",130000,9,3,3.0,0,North,,455,8 Sq. Feet,12 Feet,N/A Sq. Feet,10 months ago,"['TV Cable', 'Drainage', 'Water Supply', 'Water Tank', 'Water Well']"
"Land On Sell At Sallaghari : Land For Sale In Sallaghari, Bhaktapur","Katunje, Sallaghari, Bhaktapur",1200000,0,0,,0,North East,,433,0-6-0-0 Aana,0 Feet / Soil Stabilized,N/A Aana,10 months ago,[]
